open	close	type	description	rev	user
09/04/13		bug	recorder should set non-zero channel mask for surround audio		
09/04/13		bug	resampling full scale audio could result in clips; should report them instead of just clamping		
02/04/14		bug	in plugin parameters dialog, edit controls have a raised border in Aero		
10/03/12	10/03/12	done	wave container	1.0.00.000	
10/04/12	10/04/12	done	app fails to restore maximized show state	1.0.00.013	
10/04/12	10/04/12	done	after scrolling to middle, horz resizing child window crashes	1.0.00.013	
10/04/12	10/04/12	done	if window bigger than wave, horz resizing crashes	1.0.00.013	
10/04/12	10/04/12	done	scrolling/resizing	1.0.00.013	
10/04/12	10/05/12	done	unexpected vertical lines when zoomed in enough to show individual samples	1.0.00.019	
10/04/12	10/06/12	done	amplitude zoom	1.0.00.022	
10/04/12	10/06/12	done	zoom	1.0.00.022	
10/04/12	10/06/12	done	fit in window	1.0.00.022	
10/05/12	10/06/12	done	fix gaps; interpolate when vertical spans aren't adjacent in x or don't overlap in y	1.0.00.022	
10/06/12	10/06/12	done	if doc is opened with child maximized, wave doesn't fill window	1.0.00.022	
10/04/12	10/07/12	done	add gutter between channels	1.0.00.027	
10/05/12	10/07/12	done	scrolling by lines or pages behaves unexpectedly	1.0.00.027	
10/05/12	10/07/12	done	always show origin line, e.g. when zoomed in	1.0.00.027	
10/06/12	10/07/12	done	large amplitudes cause out of range drawing esp when zoomed in; negatives y's	1.0.00.027	
10/07/12	10/07/12	done	reverse draw loop's nesting: draw all of 1st channel, then 2nd draw channel, etc	1.0.00.027	
10/05/12	10/08/12	done	unlimited zoom: scroll view with 64-bit support	1.0.00.029	
10/04/12	10/25/12	done	8-bit wave files; also optimize 16, 24 and 32	1.0.00.039	
10/25/12	10/25/12	done	lower channels are vertically clipped; height not accounting for gutter	1.0.00.039	
10/25/12	10/25/12	done	reverse y-axis, negative should be below origin	1.0.00.039	
10/07/12	10/26/12	done	scrolling leaves interpolation gaps when zoomed far in	1.0.00.041	
10/07/12	10/26/12	done	wave doesn't reach horz margins when zoomed far in	1.0.00.041	
10/25/12	10/26/12	done	bottom of full-scale wave is clipped and/or top is shifted down one pixel	1.0.00.041	
10/26/12	10/26/12	done	make .NET version	1.0.00.041	
10/05/12	10/29/12	done	horizontal ruler	1.0.00.048	
10/26/12	10/30/12	done	make 64-bit version	1.0.00.050	
10/30/12	10/30/12	done	replace broken 64-bit round with intrinsic	1.0.00.050	
10/28/12	10/31/12	done	blank status bar cursor position when cursor leaves view	1.0.00.052	
10/31/12	10/31/12	done	in 64-bit version, scroll bar width is bogus when zoomed far in on > 2GB file	1.0.00.052	
10/31/12	10/31/12	done	in 64-bit version, samples at indices > 2GB aren't shown; use W64 round in UpdateBuckets	1.0.00.052	
10/31/12	11/01/12	done	dragging scroll bar far right scrolls doesn't reach end of wave at max zoom	1.0.00.054	
10/31/12	11/02/12	done	RIFF reader must skip unknown chunks	1.0.00.055	
10/28/12	11/05/12	done	ruler needs to support all orientations	1.0.00.057	
10/29/12	11/05/12	done	ruler shouldn't hard-code text height; test by changing font	1.0.00.057	
11/03/12	11/05/12	done	make ruler a CWnd to facilitate reuse	1.0.00.057	
10/28/12	11/08/12	done	independent channel heights, adjustable by dragging gutter; also add command to fit vertically	1.0.00.058	
10/05/12	11/09/12	done	option to show time in samples	1.0.00.060	
10/05/12	11/09/12	done	amplitude bar containing one vertical ruler per channel	1.0.00.060	
